"algo","params","n_clusters_found","silhouette","calinski","davies","f1_macro","f1_weighted","ari","nmi"
"MiniBatchKMeans","{""k"": 10}",10,0.0464586538272397,10.652052932556579,2.8245780033416246,"","","",""
"Agglomerative(ward)","{""k"": 10}",10,0.0849698328709384,14.122388114654397,2.86209601781549,"","","",""
"Agglomerative(average)","{""k"": 10}",10,0.0504276752026109,1.64965626408372,1.317528563266096,"","","",""
"Spectral","{""k"": 10}",9,0.040482031964274724,1.4010662977932402,2.4033946206974837,"","","",""
"Birch","{""k"": 10}",10,0.0849698328709384,14.122388114654397,2.86209601781549,"","","",""
"GaussianMixture","{""k"": 10, ""cov"": ""diag"", ""reg"": 1e-06}",10,0.03723256918403315,9.777724717206086,2.7495356182471395,"","","",""
"KMeans","{""k"": 11}",11,0.08080571439294004,12.643268250961361,2.95313948600571,"","","",""
"MiniBatchKMeans","{""k"": 11}",11,0.06530341994199249,10.668471787042717,2.9750864105229455,"","","",""
"Agglomerative(ward)","{""k"": 11}",11,0.09210143937107845,13.55519671092946,2.6876677695871956,"","","",""
"Agglomerative(average)","{""k"": 11}",11,0.0487935618132998,1.6144977355085488,1.2769984087486352,"","","",""
"Spectral","{""k"": 11}",11,0.02728521071336417,1.4744684376258057,2.299281894807628,"","","",""
"Birch","{""k"": 11}",11,0.09210143937107845,13.55519671092946,2.6876677695871956,"","","",""
"GaussianMixture","{""k"": 11, ""cov"": ""diag"", ""reg"": 1e-06}",11,0.05339622097686023,10.423587774152143,2.924804060321216,"","","",""
"KMeans","{""k"": 12}",12,0.08932049477297076,11.866171121546666,2.4309103848503324,"","","",""
"MiniBatchKMeans","{""k"": 12}",12,0.04219560091506509,10.608550744311184,2.9365393552102943,"","","",""
"Agglomerative(ward)","{""k"": 12}",12,0.09860789185175654,13.066133391876557,2.5741073988937524,"","","",""
"Agglomerative(average)","{""k"": 12}",12,0.04539238944954658,1.619182713375284,1.321526481695715,"","","",""
"Spectral","{""k"": 12}",11,0.024324389597806438,1.4972497263027214,2.2106490762474427,"","","",""
"Birch","{""k"": 12}",12,0.09860789185175654,13.066133391876557,2.5741073988937524,"","","",""
"GaussianMixture","{""k"": 12, ""cov"": ""diag"", ""reg"": 1e-06}",12,0.05459667553529044,9.687636899334903,2.830007457250814,"","","",""
"AffinityPropagation","{}",58,0.15461309960423106,5.774445202800245,2.019573137811553,"","","",""
"MeanShift","{}",1,"","","","","","",""
"OPTICS","{""min_samples"": 8}",9,0.0640667527552599,10.120666881894282,1.788376621083825,"","","",""
"DBSCAN","{""eps"": 0.335716, ""min_samples"": 3}",0,"","","","","","",""
"DBSCAN","{""eps"": 0.335716, ""min_samples"": 5}",0,"","","","","","",""
"DBSCAN","{""eps"": 0.335716, ""min_samples"": 10}",0,"","","","","","",""
"DBSCAN","{""eps"": 0.671432, ""min_samples"": 3}",0,"","","","","","",""
"DBSCAN","{""eps"": 0.671432, ""min_samples"": 5}",0,"","","","","","",""
"DBSCAN","{""eps"": 0.671432, ""min_samples"": 10}",0,"","","","","","",""
"DBSCAN","{""eps"": 1.007148, ""min_samples"": 3}",0,"","","","","","",""
"DBSCAN","{""eps"": 1.007148, ""min_samples"": 5}",0,"","","","","","",""
"DBSCAN","{""eps"": 1.007148, ""min_samples"": 10}",0,"","","","","","",""
