algo,params,n_clusters_found,silhouette,calinski,davies,f1_macro,f1_weighted,ari,nmi
Spectral,"{""k"": 10}",10,0.025024551216675604,1.3552862522038904,1.3740068686224096,,,,
Birch,"{""k"": 10}",10,0.13026573672834346,10.798183633083285,2.3786085334689604,,,,
GaussianMixture,"{""k"": 10, ""cov"": ""diag"", ""reg"": 1e-06}",10,0.11191323769038769,9.542041089864824,2.401144594514375,,,,
KMeans,"{""k"": 11}",11,0.13644460861017219,9.838448936024742,2.647771094899476,,,,
MiniBatchKMeans,"{""k"": 11}",11,0.13017431945357533,8.771639322240096,2.205754449083852,,,,
Agglomerative(ward),"{""k"": 11}",11,0.13872023783826865,10.474520335072711,2.4114105271575177,,,,
Agglomerative(average),"{""k"": 11}",11,0.09249829425670673,4.166161263741599,1.8580790988051399,,,,
Spectral,"{""k"": 11}",11,-0.0030368259150080363,1.3138800915802624,1.4799482601293015,,,,
Birch,"{""k"": 11}",11,0.13872023783826865,10.474520335072711,2.4114105271575177,,,,
GaussianMixture,"{""k"": 11, ""cov"": ""diag"", ""reg"": 1e-06}",11,0.11033892731807451,9.372450119212571,2.3999279273992276,,,,
KMeans,"{""k"": 12}",12,0.13501866759566447,9.756925248693273,2.177925686634908,,,,
MiniBatchKMeans,"{""k"": 12}",12,0.1572066154716619,9.87619440410091,2.243029965857898,,,,
Agglomerative(ward),"{""k"": 12}",12,0.14888081794799546,10.111945347346397,2.2644011075154027,,,,
Agglomerative(average),"{""k"": 12}",12,0.09143624991414016,3.905281972128727,1.7527827542005048,,,,
Spectral,"{""k"": 12}",12,-0.0025883714761172727,1.3132717164280383,1.428236054815388,,,,
Birch,"{""k"": 12}",12,0.14888081794799546,10.111945347346397,2.2644011075154027,,,,
GaussianMixture,"{""k"": 12, ""cov"": ""diag"", ""reg"": 1e-06}",12,0.0842559777613284,7.410153999246805,2.6999842713542037,,,,
DBSCAN,"{""eps"": 0.323464, ""min_samples"": 3}",0,,,,,,,
DBSCAN,"{""eps"": 0.323464, ""min_samples"": 5}",0,,,,,,,
DBSCAN,"{""eps"": 0.323464, ""min_samples"": 10}",0,,,,,,,
DBSCAN,"{""eps"": 0.646929, ""min_samples"": 3}",0,,,,,,,
DBSCAN,"{""eps"": 0.646929, ""min_samples"": 5}",0,,,,,,,
DBSCAN,"{""eps"": 0.646929, ""min_samples"": 10}",0,,,,,,,
DBSCAN,"{""eps"": 0.970393, ""min_samples"": 3}",0,,,,,,,
DBSCAN,"{""eps"": 0.970393, ""min_samples"": 5}",0,,,,,,,
DBSCAN,"{""eps"": 0.970393, ""min_samples"": 10}",0,,,,,,,
