PC,explained_variance_ratio,cumulative_variance_ratio
PC90,0.0026586549770470187,0.8715868000105652
PC91,0.0026499145330671652,0.8742367145436324
PC92,0.0026113916912872464,0.8768481062349196
PC93,0.0025321948850589096,0.8793803011199786
PC94,0.002454737172091145,0.8818350382920697
PC95,0.0024290882150233154,0.884264126507093
PC96,0.0024010096503168828,0.8866651361574098
PC97,0.0023622233298893356,0.8890273594872992
PC98,0.002343903796160523,0.8913712632834597
PC99,0.0022864283778728203,0.8936576916613326
PC100,0.00227309580403804,0.8959307874653706
PC101,0.0021936330513436307,0.8981244205167143
PC102,0.0021729162528486513,0.9002973367695629
PC103,0.0021301884565146003,0.9024275252260775
PC104,0.0021132339800831773,0.9045407592061607
PC105,0.0020591845272470055,0.9065999437334077
PC106,0.0020371590288990266,0.9086371027623067
PC107,0.00201882275852157,0.9106559255208283
PC108,0.0019926259564299153,0.9126485514772582
PC109,0.0019272858757708408,0.914575837353029
PC110,0.0019128512186788343,0.9164886885717078
PC111,0.0018584503326347672,0.9183471389043426
PC112,0.0018341762640704496,0.9201813151684131
PC113,0.0018132203986669525,0.92199453556708
PC114,0.0017901349932492611,0.9237846705603293
PC115,0.00177900467774995,0.9255636752380793
PC116,0.001760103262353423,0.9273237785004327
PC117,0.0017335886770079951,0.9290573671774407
PC118,0.0017099058304704978,0.9307672730079112
PC119,0.0016903228466957762,0.932457595854607
PC120,0.0016622708331232338,0.9341198666877302
PC121,0.0016402039467686125,0.9357600706344987
PC122,0.0016266863399277828,0.9373867569744265
PC123,0.0015767960076114476,0.9389635529820379
PC124,0.0015155579236189672,0.940479110905657
PC125,0.001502899312497961,0.9419820102181549
PC126,0.0014889188469846145,0.9434709290651395
PC127,0.0014661268288411783,0.9449370558939807
PC128,0.0014493227354711769,0.9463863786294519
PC129,0.0014247150453114807,0.9478110936747633
PC130,0.0014050650546391,0.9492161587294025
PC131,0.0013458736371064295,0.9505620323665089
PC132,0.001331210714147905,0.9518932430806568
PC133,0.001311110403486856,0.9532043534841437
PC134,0.0012931829110602881,0.954497536395204
PC135,0.001264303530525724,0.9557618399257297
PC136,0.0012600046358858933,0.9570218445616157
PC137,0.0012389020342251562,0.9582607465958408
PC138,0.0012247617821851847,0.959485508378026
PC139,0.0012009574337128054,0.9606864658117389
PC140,0.0011693376816678395,0.9618558034934067
PC141,0.001135164303417834,0.9629909677968246
PC142,0.0011190084101048415,0.9641099762069294
PC143,0.0010896413791090785,0.9651996175860384
PC144,0.0010689582593877327,0.9662685758454261
PC145,0.0010499852921360348,0.9673185611375622
PC146,0.001023277043747084,0.9683418381813093
PC147,0.001003463202013288,0.9693453013833225
PC148,0.0009781691950527967,0.9703234705783753
PC149,0.0009663300499231595,0.9712898006282985
PC150,0.0009395962322426316,0.9722293968605411
PC151,0.0009124369665353312,0.9731418338270764
PC152,0.0008994744365375388,0.9740413082636139
PC153,0.0008838425211144833,0.9749251507847284
PC154,0.0008577462970506408,0.975782897081779
PC155,0.0008442863434975496,0.9766271834252765
PC156,0.0008297458440150354,0.9774569292692916
PC157,0.0008172940311094892,0.9782742233004011
PC158,0.000806777252593991,0.9790810005529952
PC159,0.0007917769957985416,0.9798727775487938
PC160,0.0007764553254893286,0.9806492328742831
PC161,0.0007513191764961412,0.9814005520507793
PC162,0.0007407662813601063,0.9821413183321394
PC163,0.0007201365436063072,0.9828614548757456
PC164,0.0007111440150147285,0.9835725988907603
PC165,0.0006970106384163697,0.9842696095291766
PC166,0.0006883517211053997,0.984957961250282
PC167,0.0006700120556666555,0.9856279733059486
PC168,0.0006603525295386815,0.9862883258354873
PC169,0.0006502750518533326,0.9869386008873406
PC170,0.0006311257983687276,0.9875697266857094
PC171,0.0006125532244154923,0.9881822799101249
PC172,0.0005968071784194961,0.9887790870885443
PC173,0.0005915466530819608,0.9893706337416263
PC174,0.0005706429457979445,0.9899412766874242
PC175,0.0005622188062187977,0.9905034954936429
PC176,0.0005480373788962323,0.9910515328725391
PC177,0.0005321776219291215,0.9915837104944683
PC178,0.0005223559479730568,0.9921060664424413
PC179,0.0005007635026493478,0.9926068299450906
PC180,0.0004960767321774001,0.9931029066772681
PC181,0.00047996588650257925,0.9935828725637706
PC182,0.0004709159876811799,0.9940537885514519
PC183,0.0004542416567654757,0.9945080302082173
PC184,0.00044183300606897424,0.9949498632142862
PC185,0.00043274073411668875,0.9953826039484029
PC186,0.00042152482407330487,0.9958041287724763
PC187,0.0003998670912901719,0.9962039958637664
PC188,0.00038660006825452797,0.9965905959320209
PC189,0.00038057577840701855,0.9969711717104279
PC190,0.00037775620178896795,0.9973489279122169
PC191,0.00036705384709256373,0.9977159817593094
PC192,0.00033397012437088805,0.9980499518836803
PC193,0.00033151940467672454,0.998381471288357
PC194,0.0003227164238590361,0.998704187712216
PC195,0.0003152675748021667,0.9990194552870182
PC196,0.00030168580469753565,0.9993211410917158
PC197,0.0002582582282530892,0.9995793993199689
PC198,0.00022786416587033799,0.9998072634858391
PC199,0.0001927365141607086,0.9999999999999999
PC200,2.003036031111354e-32,0.9999999999999999
